order_id,order_date,customer_id,product_id,province,category,channel,payment_id,payment_method,payment_status,quantity,unit_price,discount,net_sales,source_file
ORD000001,2026-01-08 17:11:00,C0158,P039,เชียงใหม่,Notebook,Marketplace,PAY000001,Bank Transfer,PAID,2,940.5,0.0,1881.0,orders_2026_01.csv
ORD000002,2026-01-12 20:13:00,C0123,P038,ระยอง,Smartphone,Mobile App,PAY000002,Bank Transfer,PAID,1,12900.0,0.1,11610.0,orders_2026_01.csv
ORD000003,2026-01-26 14:00:00,C0119,P031,ขอนแก่น,Smart Home,Web,PAY000003,PromptPay,PAID,3,1415.5,0.05,4034.18,orders_2026_01.csv
ORD000004,2026-01-18 16:18:00,C0065,P003,ขอนแก่น,Smartphone,Mobile App,PAY000004,Bank Transfer,PAID,2,25900.0,0.0,51800.0,orders_2026_01.csv
ORD000005,2026-01-08 17:43:00,C0129,P007,กรุงเทพมหานคร,Notebook,Mobile App,PAY000005,Credit Card,PAID,2,23310.0,0.05,44289.0,orders_2026_01.csv
ORD000006,2026-01-23 11:50:00,C0097,P037,เชียงใหม่,Smart Home,Mobile App,PAY000006,Bank Transfer,PAID,2,27195.0,0.0,54390.0,orders_2026_01.csv
ORD000007,2026-01-24 07:03:00,C0139,P001,ระยอง,Notebook,Web,PAY000007,Bank Transfer,PAID,1,284.05,0.0,284.05,orders_2026_01.csv
ORD000010,2026-01-07 03:12:00,C0100,P017,กรุงเทพมหานคร,Smartphone,Mobile App,PAY000010,Bank Transfer,PAID,2,990.0,0.1,1782.0,orders_2026_01.csv
ORD000011,2026-01-12 14:34:00,C0120,P028,ขอนแก่น,Smartphone,Web,PAY000011,Credit Card,PAID,2,313.95,0.0,627.9,orders_2026_01.csv
ORD000012,2026-01-08 22:35:00,C0141,P008,กรุงเทพมหานคร,Accessory,Marketplace,PAY000012,Bank Transfer,PAID,2,449.1,0.05,853.29,orders_2026_01.csv
ORD000013,2026-01-27 22:41:00,C0110,P002,เชียงใหม่,Smartphone,Mobile App,PAY000013,Bank Transfer,PAID,2,1341.0,0.0,2682.0,orders_2026_01.csv
ORD000014,2026-01-20 07:11:00,C0142,P017,ชลบุรี,Smartphone,Marketplace,PAY000014,Credit Card,PAID,4,990.0,0.0,3960.0,orders_2026_01.csv
ORD000015,2026-01-04 13:47:00,C0151,P018,ชลบุรี,Smartphone,Web,PAY000015,Bank Transfer,PAID,2,4189.5,0.0,8379.0,orders_2026_01.csv
ORD000016,2026-01-18 06:47:00,C0072,P006,เชียงใหม่,Accessory,Mobile App,PAY000016,Bank Transfer,PAID,1,313.95,0.0,313.95,orders_2026_01.csv
ORD000017,2026-01-27 00:37:00,C0048,P019,กรุงเทพมหานคร,Smartphone,Mobile App,PAY000017,Bank Transfer,PAID,2,3591.0,0.0,7182.0,orders_2026_01.csv
ORD000018,2026-01-05 02:59:00,C0037,P001,ภูเก็ต,Notebook,Marketplace,PAY000018,Bank Transfer,PAID,3,299.0,0.0,897.0,orders_2026_01.csv
ORD000019,2026-01-14 22:23:00,C0159,P019,ภูเก็ต,Smartphone,Web,PAY000019,PromptPay,PAID,1,4189.5,0.1,3770.55,orders_2026_01.csv
ORD000020,2026-01-08 21:53:00,C0115,P007,ระยอง,Notebook,Web,PAY000020,Credit Card,PAID,1,25900.0,0.0,25900.0,orders_2026_01.csv
ORD000021,2026-01-18 02:04:00,C0007,P007,กรุงเทพมหานคร,Notebook,Web,PAY000021,Bank Transfer,PAID,1,27195.0,0.05,25835.25,orders_2026_01.csv
ORD000024,2026-01-28 11:43:00,C0042,P033,ระยอง,Smart Home,Marketplace,PAY000024,Bank Transfer,PAID,1,13545.0,0.0,13545.0,orders_2026_01.csv
ORD000025,2026-01-07 13:04:00,C0079,P011,ภูเก็ต,Accessory,Web,PAY000025,Credit Card,PAID,1,25900.0,0.0,25900.0,orders_2026_01.csv
ORD000026,2026-01-04 19:15:00,C0107,P008,ระยอง,Accessory,Mobile App,PAY000026,Credit Card,PAID,1,499.0,0.0,499.0,orders_2026_01.csv
ORD000027,2026-01-23 14:12:00,C0143,P019,เชียงใหม่,Smartphone,Web,PAY000027,Credit Card,PAID,2,3790.5,0.1,6822.9,orders_2026_01.csv
ORD000028,2026-01-08 05:59:00,C0139,P013,ระยอง,Smart Home,Mobile App,PAY000028,Credit Card,PAID,4,523.95,0.0,2095.8,orders_2026_01.csv
ORD000030,2026-01-10 12:26:00,C0003,P006,ขอนแก่น,Accessory,Mobile App,PAY000030,PromptPay,PAID,1,299.0,0.05,284.05,orders_2026_01.csv
ORD000031,2026-01-16 18:33:00,C0087,P027,กรุงเทพมหานคร,Smartphone,Web,PAY000031,PromptPay,PAID,1,24605.0,0.0,24605.0,orders_2026_01.csv
ORD000032,2026-01-01 14:52:00,C0085,P035,กรุงเทพมหานคร,Accessory,Mobile App,PAY000032,Bank Transfer,PAID,1,25900.0,0.0,25900.0,orders_2026_01.csv
ORD000034,2026-01-24 06:21:00,C0044,P005,กรุงเทพมหานคร,Smartphone,Web,PAY000034,PromptPay,PAID,1,313.95,0.0,313.95,orders_2026_01.csv
ORD000035,2026-01-16 21:39:00,C0045,P033,เชียงใหม่,Smart Home,Marketplace,PAY000035,PromptPay,PAID,3,12900.0,0.0,38700.0,orders_2026_01.csv
ORD000036,2026-01-21 10:30:00,C0043,P005,ระยอง,Smartphone,Mobile App,PAY000036,Credit Card,PAID,1,299.0,0.0,299.0,orders_2026_01.csv
ORD000037,2026-01-20 00:56:00,C0108,P017,เชียงใหม่,Smartphone,Web,PAY000037,PromptPay,PAID,4,990.0,0.0,3960.0,orders_2026_01.csv
ORD000038,2026-01-18 01:57:00,C0008,P009,ขอนแก่น,Notebook,Mobile App,PAY000038,PromptPay,PAID,1,284.05,0.05,269.85,orders_2026_01.csv
ORD000039,2026-01-28 20:23:00,C0126,P004,เชียงใหม่,Smart Home,Marketplace,PAY000039,PromptPay,PAID,2,1415.5,0.0,2831.0,orders_2026_01.csv
ORD000040,2026-01-15 23:19:00,C0086,P021,กรุงเทพมหานคร,Smart Home,Marketplace,PAY000040,PromptPay,PAID,1,23310.0,0.0,23310.0,orders_2026_01.csv
ORD000041,2026-01-11 12:38:00,C0008,P034,ขอนแก่น,Accessory,Web,PAY000041,Credit Card,PAID,2,284.05,0.0,568.1,orders_2026_01.csv
ORD000042,2026-01-21 15:59:00,C0114,P032,เชียงใหม่,Notebook,Marketplace,PAY000042,Credit Card,PAID,1,25900.0,0.0,25900.0,orders_2026_01.csv
ORD000043,2026-01-03 08:15:00,C0006,P018,ระยอง,Smartphone,Web,PAY000043,Bank Transfer,PAID,1,3790.5,0.05,3600.98,orders_2026_01.csv
ORD000045,2026-01-16 19:17:00,C0068,P019,ขอนแก่น,Smartphone,Marketplace,PAY000045,Bank Transfer,PAID,3,3990.0,0.0,11970.0,orders_2026_01.csv
ORD000046,2026-01-21 21:21:00,C0097,P026,เชียงใหม่,Smart Home,Mobile App,PAY000046,Bank Transfer,PAID,2,12900.0,0.1,23220.0,orders_2026_01.csv
ORD000047,2026-01-01 07:56:00,C0100,P038,กรุงเทพมหานคร,Smartphone,Web,PAY000047,PromptPay,PAID,4,11610.0,0.0,46440.0,orders_2026_01.csv
ORD000048,2026-01-13 07:59:00,C0040,P038,กรุงเทพมหานคร,Smartphone,Marketplace,PAY000048,PromptPay,PAID,2,12900.0,0.0,25800.0,orders_2026_01.csv
ORD000049,2026-01-18 00:12:00,C0059,P019,ระยอง,Smartphone,Mobile App,PAY000049,PromptPay,PAID,1,3990.0,0.05,3790.5,orders_2026_01.csv
ORD000050,2026-01-09 02:38:00,C0067,P006,ชลบุรี,Accessory,Web,PAY000050,Bank Transfer,PAID,1,313.95,0.0,313.95,orders_2026_01.csv
ORD000051,2026-01-24 03:14:00,C0035,P039,ชลบุรี,Notebook,Marketplace,PAY000051,Credit Card,PAID,4,990.0,0.0,3960.0,orders_2026_01.csv
ORD000052,2026-01-18 11:03:00,C0079,P035,ภูเก็ต,Accessory,Mobile App,PAY000052,Credit Card,PAID,1,23310.0,0.0,23310.0,orders_2026_01.csv
ORD000053,2026-01-16 20:25:00,C0113,P019,ระยอง,Smartphone,Marketplace,PAY000053,Credit Card,PAID,4,3990.0,0.05,15162.0,orders_2026_01.csv
ORD000054,2026-01-01 18:10:00,C0046,P035,ชลบุรี,Accessory,Marketplace,PAY000054,Bank Transfer,PAID,1,25900.0,0.1,23310.0,orders_2026_01.csv
ORD000055,2026-01-07 14:06:00,C0132,P027,ชลบุรี,Smartphone,Marketplace,PAY000055,Credit Card,PAID,2,23310.0,0.0,46620.0,orders_2026_01.csv
ORD000056,2026-01-07 05:17:00,C0083,P017,ขอนแก่น,Smartphone,Web,PAY000056,Bank Transfer,PAID,1,990.0,0.0,990.0,orders_2026_01.csv
ORD000057,2026-01-20 22:46:00,C0054,P039,กรุงเทพมหานคร,Notebook,Marketplace,PAY000057,Bank Transfer,PAID,2,990.0,0.0,1980.0,orders_2026_01.csv
ORD000058,2026-01-16 05:55:00,C0096,P038,กรุงเทพมหานคร,Smartphone,Mobile App,PAY000058,PromptPay,PAID,2,13545.0,0.05,25735.5,orders_2026_01.csv
ORD000059,2026-01-22 06:56:00,C0038,P005,ชลบุรี,Smartphone,Mobile App,PAY000059,Bank Transfer,PAID,1,284.05,0.0,284.05,orders_2026_01.csv
ORD000060,2026-01-15 09:26:00,C0057,P005,เชียงใหม่,Smartphone,Mobile App,PAY000060,Credit Card,PAID,1,299.0,0.1,269.1,orders_2026_01.csv
ORD000061,2026-01-08 12:44:00,C0102,P023,ระยอง,Accessory,Mobile App,PAY000061,Bank Transfer,PAID,2,313.95,0.1,565.11,orders_2026_01.csv
ORD000062,2026-01-09 13:10:00,C0036,P020,กรุงเทพมหานคร,Smart Home,Marketplace,PAY000062,PromptPay,PAID,3,499.0,0.0,1497.0,orders_2026_01.csv
ORD000063,2026-01-08 01:20:00,C0034,P025,ภูเก็ต,Accessory,Marketplace,PAY000063,Credit Card,PAID,3,27195.0,0.0,81585.0,orders_2026_01.csv
ORD000064,2026-01-07 21:17:00,C0152,P014,ชลบุรี,Notebook,Web,PAY000064,Credit Card,PAID,1,1039.5,0.1,935.55,orders_2026_01.csv
ORD000065,2026-01-20 12:44:00,C0160,P031,กรุงเทพมหานคร,Smart Home,Web,PAY000065,Bank Transfer,PAID,3,1490.0,0.0,4470.0,orders_2026_01.csv
ORD000067,2026-01-11 23:34:00,C0125,P035,เชียงใหม่,Accessory,Mobile App,PAY000067,Credit Card,PAID,1,25900.0,0.0,25900.0,orders_2026_01.csv
ORD000068,2026-01-15 21:59:00,C0052,P039,ระยอง,Notebook,Mobile App,PAY000068,PromptPay,PAID,1,940.5,0.05,893.47,orders_2026_01.csv
ORD000069,2026-01-09 12:18:00,C0081,P039,ขอนแก่น,Notebook,Web,PAY000069,Credit Card,PAID,1,1039.5,0.0,1039.5,orders_2026_01.csv
ORD000070,2026-01-28 09:39:00,C0069,P014,กรุงเทพมหานคร,Notebook,Marketplace,PAY000070,Bank Transfer,PAID,4,1039.5,0.0,4158.0,orders_2026_01.csv
ORD000071,2026-01-01 22:56:00,C0021,P008,เชียงใหม่,Accessory,Web,PAY000071,Credit Card,PAID,1,523.95,0.0,523.95,orders_2026_01.csv
ORD000072,2026-01-24 22:09:00,C0028,P032,ขอนแก่น,Notebook,Mobile App,PAY000072,Credit Card,PAID,4,23310.0,0.05,88578.0,orders_2026_01.csv
ORD000073,2026-01-13 05:31:00,C0009,P022,ภูเก็ต,Accessory,Web,PAY000073,Credit Card,PAID,1,474.05,0.0,474.05,orders_2026_01.csv
ORD000074,2026-01-17 10:33:00,C0110,P031,เชียงใหม่,Smart Home,Marketplace,PAY000074,Credit Card,PAID,4,1490.0,0.0,5960.0,orders_2026_01.csv
ORD000075,2026-01-22 08:13:00,C0039,P007,กรุงเทพมหานคร,Notebook,Web,PAY000075,Credit Card,PAID,2,24605.0,0.05,46749.5,orders_2026_01.csv
ORD000077,2026-01-08 04:24:00,C0143,P026,เชียงใหม่,Smart Home,Web,PAY000077,PromptPay,PAID,2,12255.0,0.0,24510.0,orders_2026_01.csv
ORD000078,2026-01-22 17:21:00,C0070,P017,เชียงใหม่,Smartphone,Marketplace,PAY000078,Bank Transfer,PAID,1,1039.5,0.05,987.52,orders_2026_01.csv
ORD000079,2026-01-05 10:50:00,C0005,P037,ระยอง,Smart Home,Mobile App,PAY000079,Bank Transfer,PAID,1,25900.0,0.1,23310.0,orders_2026_01.csv
ORD000080,2026-01-28 17:30:00,C0008,P019,ขอนแก่น,Smartphone,Marketplace,PAY000080,Bank Transfer,PAID,3,4189.5,0.05,11940.08,orders_2026_01.csv
ORD000081,2026-01-11 02:57:00,C0061,P018,ขอนแก่น,Smartphone,Web,PAY000081,Credit Card,PAID,4,3591.0,0.0,14364.0,orders_2026_01.csv
ORD000082,2026-01-21 18:06:00,C0147,P020,ชลบุรี,Smart Home,Marketplace,PAY000082,PromptPay,PAID,2,474.05,0.1,853.29,orders_2026_01.csv
