source_batch,reason_code,rows
1,INACTIVE_PRODUCT,26
1,INACTIVE_PRODUCT;INVALID_QUANTITY,2
1,INVALID_DISCOUNT_PCT,8
1,INVALID_DISCOUNT_PCT;INVALID_PAYMENT_METHOD,2
1,INVALID_ORDER_DATETIME,14
1,INVALID_QUANTITY,12
1,INVALID_UNIT_PRICE,6
1,INVALID_UNIT_PRICE;INVALID_DISCOUNT_PCT;INVALID_PAYMENT_METHOD,4
1,MISSING_CUSTOMER_ID,8
1,MISSING_CUSTOMER_ID;INACTIVE_PRODUCT,2
1,UNKNOWN_CUSTOMER_ID,4
1,UNKNOWN_PRODUCT_ID,6
2,INACTIVE_PRODUCT,20
2,INACTIVE_PRODUCT;INVALID_DISCOUNT_PCT;INVALID_PAYMENT_METHOD,1
2,INVALID_DISCOUNT_PCT,4
2,INVALID_DISCOUNT_PCT;INVALID_PAYMENT_METHOD,1
2,INVALID_ORDER_DATETIME,8
2,INVALID_QUANTITY,10
2,INVALID_UNIT_PRICE,3
2,INVALID_UNIT_PRICE;INVALID_DISCOUNT_PCT;INVALID_PAYMENT_METHOD,1
2,MISSING_CUSTOMER_ID,5
2,UNKNOWN_CUSTOMER_ID,3
2,UNKNOWN_PRODUCT_ID,6
3,INACTIVE_PRODUCT,14
3,INACTIVE_PRODUCT;INVALID_UNIT_PRICE,1
3,INVALID_DISCOUNT_PCT,4
3,INVALID_DISCOUNT_PCT;INVALID_PAYMENT_METHOD,1
3,INVALID_ORDER_DATETIME,6
3,INVALID_QUANTITY,9
3,INVALID_UNIT_PRICE,2
3,INVALID_UNIT_PRICE;INVALID_DISCOUNT_PCT;INVALID_PAYMENT_METHOD,2
3,MISSING_CUSTOMER_ID,5
3,UNKNOWN_CUSTOMER_ID,3
3,UNKNOWN_PRODUCT_ID,3
