order_id,order_datetime,customer_id,product_id,quantity,unit_price,discount_pct,payment_method,sales_channel,updated_at,source_batch,reason_code
O000027,2026-02-02 18:54:00,C0158,P017,4.0,1281.37,10.0,Cash,Online,2026-02-03 23:59:00,1,INACTIVE_PRODUCT
O000054,2026-03-06 15:56:00,C0115,P034,2.0,530.09,5.0,Cash,Store,2026-03-07 23:59:00,1,INACTIVE_PRODUCT
O000058,2026-02-27 23:57:00,C0069,P034,5.0,530.09,0.0,Bank Transfer,Store,2026-02-28 23:59:00,1,INACTIVE_PRODUCT
O000075,2026-02-12 07:26:00,C0016,P034,2.0,530.09,5.0,Cash,Marketplace,2026-02-13 23:59:00,1,INACTIVE_PRODUCT
O000083,2026-02-05 11:37:00,,P039,4.0,688.83,5.0,Cash,Online,2026-02-06 23:59:00,1,MISSING_CUSTOMER_ID
O000089,2026-03-04 08:25:00,C0030,P035,-2.0,997.99,10.0,Credit Card,Online,2026-03-05 23:59:00,1,INVALID_QUANTITY
O000097,,C0110,P040,5.0,1472.44,0.0,Bank Transfer,Online,2026-03-03 23:59:00,1,INVALID_ORDER_DATETIME
O000101,2026-02-28 22:40:00,C0151,P029,3.0,450.41,120.0,Credit Card,Store,2026-03-01 23:59:00,1,INVALID_DISCOUNT_PCT
O000107,2026-03-03 15:13:00,C0130,P999,1.0,766.0,15.0,PromptPay,Store,2026-03-04 23:59:00,1,UNKNOWN_PRODUCT_ID
O000111,2026-01-26 19:08:00,C0064,P034,2.0,530.09,0.0,Credit Card,Online,2026-01-27 23:59:00,1,INACTIVE_PRODUCT
O000113,2026-01-03 03:35:00,C0039,P011,,616.6,0.0,PromptPay,Marketplace,2026-01-04 23:59:00,1,INVALID_QUANTITY
O000127,2026-02-14 13:29:00,C0009,P038,1.0,,0.0,Credit Card,Marketplace,2026-02-15 23:59:00,1,INVALID_UNIT_PRICE
O000131,,C0152,P037,1.0,185.91,5.0,Bank Transfer,Marketplace,2026-02-17 23:59:00,1,INVALID_ORDER_DATETIME
O000139,2026-02-03 21:12:00,C0072,P039,4.0,5.0,,,Online,2026-02-04 23:59:00,1,INVALID_DISCOUNT_PCT;INVALID_PAYMENT_METHOD
O000149,2026-01-08 12:33:00,C9999,P039,4.0,688.83,10.0,PromptPay,Marketplace,2026-01-09 23:59:00,1,UNKNOWN_CUSTOMER_ID
O000166,2026-01-18 04:01:00,,P027,4.0,817.79,10.0,PromptPay,Online,2026-01-19 23:59:00,1,MISSING_CUSTOMER_ID
O000178,2026-02-16 01:47:00,C0061,P026,-2.0,1185.43,0.0,PromptPay,Marketplace,2026-02-17 23:59:00,1,INVALID_QUANTITY
O000194,,C0075,P003,3.0,344.85,10.0,Cash,Online,2026-03-20 23:59:00,1,INVALID_ORDER_DATETIME
O000202,2026-01-15 10:38:00,C0161,P031,3.0,599.9,120.0,Credit Card,Online,2026-01-16 23:59:00,1,INVALID_DISCOUNT_PCT
O000214,2026-01-04 07:12:00,C0043,P999,6.0,1451.77,0.0,PromptPay,Store,2026-01-05 23:59:00,1,UNKNOWN_PRODUCT_ID
O000226,2026-03-21 10:12:00,C0153,P017,,1281.37,0.0,Bank Transfer,Online,2026-03-22 23:59:00,1,INACTIVE_PRODUCT;INVALID_QUANTITY
O000249,2026-02-07 21:50:00,,P025,5.0,833.67,15.0,Credit Card,Online,2026-02-08 23:59:00,1,MISSING_CUSTOMER_ID
O000254,2026-01-04 03:25:00,C0002,P043,6.0,,15.0,PromptPay,Online,2026-01-05 23:59:00,1,INVALID_UNIT_PRICE
O000258,2026-03-13 11:31:00,C0058,P017,1.0,1281.37,0.0,Bank Transfer,Online,2026-03-14 23:59:00,1,INACTIVE_PRODUCT
O000262,,C0097,P044,5.0,766.0,0.0,Credit Card,Store,2026-02-03 23:59:00,1,INVALID_ORDER_DATETIME
O000267,2026-01-02 16:42:00,C0095,P042,-2.0,733.19,0.0,PromptPay,Marketplace,2026-01-03 23:59:00,1,INVALID_QUANTITY
O000278,2026-02-01 02:14:00,C0022,P035,4.0,0.0,,,Marketplace,2026-02-02 23:59:00,1,INVALID_UNIT_PRICE;INVALID_DISCOUNT_PCT;INVALID_PAYMENT_METHOD
O000284,2026-01-05 17:05:00,C0110,P017,3.0,1281.37,10.0,Cash,Online,2026-01-06 23:59:00,1,INACTIVE_PRODUCT
O000291,,C0165,P041,2.0,1291.92,0.0,Cash,Online,2026-01-06 23:59:00,1,INVALID_ORDER_DATETIME
O000298,2026-01-14 00:46:00,C9999,P037,2.0,185.91,10.0,Bank Transfer,Store,2026-01-15 23:59:00,1,UNKNOWN_CUSTOMER_ID
O000303,2026-03-02 22:11:00,C0137,P007,4.0,619.54,120.0,PromptPay,Online,2026-03-03 23:59:00,1,INVALID_DISCOUNT_PCT
O000318,2026-01-02 00:14:00,C0134,P017,5.0,1281.37,0.0,Credit Card,Store,2026-01-03 23:59:00,1,INACTIVE_PRODUCT
O000321,2026-01-12 07:42:00,C0073,P999,5.0,624.66,10.0,Bank Transfer,Online,2026-01-13 23:59:00,1,UNKNOWN_PRODUCT_ID
O000332,2026-02-18 19:38:00,,P017,4.0,1281.37,0.0,Bank Transfer,Marketplace,2026-02-19 23:59:00,1,MISSING_CUSTOMER_ID;INACTIVE_PRODUCT
O000339,2026-03-15 12:23:00,C0146,P014,,358.74,0.0,Credit Card,Online,2026-03-16 23:59:00,1,INVALID_QUANTITY
O000342,2026-02-24 10:13:00,C0156,P034,1.0,530.09,15.0,Cash,Store,2026-02-25 23:59:00,1,INACTIVE_PRODUCT
O000350,2026-03-12 21:39:00,C0171,P017,6.0,1281.37,0.0,PromptPay,Store,2026-03-13 23:59:00,1,INACTIVE_PRODUCT
O000356,2026-01-19 11:29:00,C0146,P042,-2.0,733.19,0.0,Bank Transfer,Store,2026-01-20 23:59:00,1,INVALID_QUANTITY
O000371,2026-02-09 02:38:00,C0098,P034,4.0,530.09,10.0,Cash,Marketplace,2026-02-10 23:59:00,1,INACTIVE_PRODUCT
O000376,2026-02-27 12:55:00,C0081,P034,3.0,530.09,0.0,Credit Card,Store,2026-02-28 23:59:00,1,INACTIVE_PRODUCT
O000381,2026-01-17 13:54:00,C0054,P005,1.0,,10.0,Credit Card,Marketplace,2026-01-18 23:59:00,1,INVALID_UNIT_PRICE
O000388,,C0086,P027,1.0,817.79,15.0,Bank Transfer,Marketplace,2026-01-25 23:59:00,1,INVALID_ORDER_DATETIME
O000393,,C0148,P037,5.0,185.91,10.0,Bank Transfer,Online,2026-02-25 23:59:00,1,INVALID_ORDER_DATETIME
O000404,2026-01-30 04:14:00,C0163,P016,5.0,878.59,120.0,Credit Card,Store,2026-01-31 23:59:00,1,INVALID_DISCOUNT_PCT
O000412,2026-03-03 09:07:00,C0058,P017,6.0,1281.37,15.0,Cash,Online,2026-03-04 23:59:00,1,INACTIVE_PRODUCT
O000415,2026-01-12 21:48:00,,P030,1.0,915.53,10.0,Credit Card,Marketplace,2026-01-13 23:59:00,1,MISSING_CUSTOMER_ID
O000417,2026-02-09 22:58:00,C0021,P011,3.0,0.0,,Transfer,Marketplace,2026-02-10 23:59:00,1,INVALID_UNIT_PRICE;INVALID_DISCOUNT_PCT;INVALID_PAYMENT_METHOD
O000027,2026-02-02 18:54:00,C0158,P017,4.0,1281.37,10.0,Cash,Online,2026-02-03 23:59:00,1,INACTIVE_PRODUCT
O000054,2026-03-06 15:56:00,C0115,P034,2.0,530.09,5.0,Cash,Store,2026-03-07 23:59:00,1,INACTIVE_PRODUCT
O000058,2026-02-27 23:57:00,C0069,P034,5.0,530.09,0.0,Bank Transfer,Store,2026-02-28 23:59:00,1,INACTIVE_PRODUCT
O000075,2026-02-12 07:26:00,C0016,P034,2.0,530.09,5.0,Cash,Marketplace,2026-02-13 23:59:00,1,INACTIVE_PRODUCT
O000083,2026-02-05 11:37:00,,P039,4.0,688.83,5.0,Cash,Online,2026-02-06 23:59:00,1,MISSING_CUSTOMER_ID
O000089,2026-03-04 08:25:00,C0030,P035,-2.0,997.99,10.0,Credit Card,Online,2026-03-05 23:59:00,1,INVALID_QUANTITY
O000097,,C0110,P040,5.0,1472.44,0.0,Bank Transfer,Online,2026-03-03 23:59:00,1,INVALID_ORDER_DATETIME
O000101,2026-02-28 22:40:00,C0151,P029,3.0,450.41,120.0,Credit Card,Store,2026-03-01 23:59:00,1,INVALID_DISCOUNT_PCT
O000107,2026-03-03 15:13:00,C0130,P999,1.0,766.0,15.0,PromptPay,Store,2026-03-04 23:59:00,1,UNKNOWN_PRODUCT_ID
O000111,2026-01-26 19:08:00,C0064,P034,2.0,530.09,0.0,Credit Card,Online,2026-01-27 23:59:00,1,INACTIVE_PRODUCT
O000113,2026-01-03 03:35:00,C0039,P011,,616.6,0.0,PromptPay,Marketplace,2026-01-04 23:59:00,1,INVALID_QUANTITY
O000127,2026-02-14 13:29:00,C0009,P038,1.0,,0.0,Credit Card,Marketplace,2026-02-15 23:59:00,1,INVALID_UNIT_PRICE
O000131,,C0152,P037,1.0,185.91,5.0,Bank Transfer,Marketplace,2026-02-17 23:59:00,1,INVALID_ORDER_DATETIME
O000139,2026-02-03 21:12:00,C0072,P039,4.0,5.0,,,Online,2026-02-04 23:59:00,1,INVALID_DISCOUNT_PCT;INVALID_PAYMENT_METHOD
O000149,2026-01-08 12:33:00,C9999,P039,4.0,688.83,10.0,PromptPay,Marketplace,2026-01-09 23:59:00,1,UNKNOWN_CUSTOMER_ID
O000166,2026-01-18 04:01:00,,P027,4.0,817.79,10.0,PromptPay,Online,2026-01-19 23:59:00,1,MISSING_CUSTOMER_ID
O000178,2026-02-16 01:47:00,C0061,P026,-2.0,1185.43,0.0,PromptPay,Marketplace,2026-02-17 23:59:00,1,INVALID_QUANTITY
O000194,,C0075,P003,3.0,344.85,10.0,Cash,Online,2026-03-20 23:59:00,1,INVALID_ORDER_DATETIME
O000202,2026-01-15 10:38:00,C0161,P031,3.0,599.9,120.0,Credit Card,Online,2026-01-16 23:59:00,1,INVALID_DISCOUNT_PCT
